,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients,,,,,,
10,Seblak Mie Tulang Ayam,1 bungkus mie burung dara--1/4 tulang ayam sisa filet (jadi masih ada daging2ny😁)--Sawi hijau--Sawi putih--Garam--Gula--Bahan halus :--5 siung bawang merah--3 siung bawang putih--3 buah cabe keritinh--15 buah cabe rawit (sesuai selera)--1 ruas jari kencur--,"1) Haluskan seluruh bumbu halus (saya pake blender)
2) Tumis bumbu halus sampai wangi, masukan tulang ayam, tambahkan air, tunggu smpai ayam matang
3) Setelah ayam matang masukan mie, gula, dan garam kemudian koreksi rasa..
4) Setelah rasa pas masukan sayur2n sampai agak layu, jangan terlalu lama..
5) Seblak mie siap dinikmati",hot-pimento-cheese-dip-polina-chesnakova,"mie burung dara , tulang ayam sisa filet daging ny , sawi hijau , sawi putih , garam , gula , halus , bawang merah , bawang putih , cabe keriting , cabe rawit , kencur",,,,,,
11,Sop Kaki Kambing,500 gr kaki kambing--3 buah wortel iris--1/4 bagian kol--2 batang seledri--2 batang daun bawang--bumbu halus :--5 siung bawang merah--2 siung bawang putih--10 butir merica--secukupnya masako ayam--1/2 sdt gula pasir--,"1) Presto dulu ya kaki kambingnya dan wortel masak sekitar 45 menit.
2) Setelah selesai presto lalu masukan sayuran kol nya dan seledri masukan bumbu halus dan bumbui masak lagi sampai matang icipi ya rasanya. Lalu terakhir masukan daun bawang. Angkat sajikan",spiral-ham-in-the-slow-cooker-guarnaschelli,"kaki kambing , wortel , kol , batang seledri , batang daun bawang , bumbu halus , bawang merah , bawang putih , merica , masako ayam , gula pasir",,,,,,
12,Gulai kambing simple,"1 kg Daging kambing / iga kambing--1 mangkuk/2 bks  santan instance (aku pakai sun Kara)--Santan kental (aku pakai sun Kara segitiga 2 bks)--2 buah bawang Bombay--5 siung bawang putih--2 buah bawang bombay--Bumbu yg dihaluskan :--1 ruas jari kunyit--1 ruas jari jahe--1 ruas jari langkuas--5 siung bawang merah--1 bks ketumbar bubuk--7 siung bawang putih--1 bks lada bubuk--5 buah cabe merah besar--Garam  2 sdm (sesuai selera)--10 buah cabe merah keriting--4 SDM Gula--1 bks lada bubuk--Daun Salam,sereh (bisa jg pskai daun temurui/dalam koja)--1 bks ketumbar halus--Minyak utk menumis Dan blender bumbu--Daun dalam koja/temurui (bola tidak suka pakai daun salam biasa)--Serai--sesuai selera Garam Dan gula bola suka pskai juga penyedap rasa--Minyak until menumis--1 liter air putih--","1) Tumis bawang Bombay yg sudah diiris halus,masukkan bumbu yg sudah dihaluskan (kecuali daun dalam Dan serai) masukkan dau2an tumis hingga wangi Dan matang
2) Masukkan Daging yg sudah dicuci bersih aduk kurang lebih 5 menit setelah itu masukkan air putih,masak dengan API kecil hingga air berkurang setengahnya kemudian masukkan santan kental masak hingga matang Dan mengental siap disajikasn dengan nasi hangar/roti jala/nasi kebuli
3) Aduk Terus hingga rata dengan api kecil..diamkan sebentar kemudian masukkan air Dan aduk kembali hingga rata
4) Masak kurang lebih 1/2 jam
5) Setelah air mengental Dan Daging sudah empuk masukkan santan,aduk kembali hingga rata tunggu hingga santan mengental...boleh juga sampai santan agak sedikit kering (saya suka agak kering utk diamkan dengan roti kering/jala)",butternut-squash-apple-soup-365210,"daging kambing iga kambing , mangkuk santan instance sun kara , santan kental sun kara segitiga , bawang bombai , bawang putih , bawang bombai , bumbu dihaluskan , kunyit , jahe , langkuas , bawang merah , biji ketumbar , bawang putih , lada , cabe merah , garam , cabe merah keriting , gula , lada , daun salam , serai jg pskai daun temurui koja , biji ketumbar , minyak utk menumis blender bumbu , daun koja temurui bola suka daun salam , serai , garam gula bola suka pskai penyedap , minyak until menumis , air putih",,,,,,
13,Nasi Goreng Kambing,"1 piring nasi putih--beberapa potong daging kambing--1 siung bawang putih--2 siung bawang merah--1 sdt bubuk kari--secukupnya Kecap manis, merica--Minyak wijen--1 sdm enzim pengempuk daging/nanas parut/pepaya muda parut/daun pepaya--","1) Daging kambing diiris kecil2, kemudian ditaburi enzim pengempuk daging (bisa juga menggunakan pepaya muda yang diparut/nanas yang diparut/daun pepaya yang diremas-remas). Biarkan selama 30 menit, setelah itu cuci bersih, tiriskan.
2) Panaskan sedikit minyak di wajan, kemudian daging kambing dioseng2 sampai berubah warna. Tambahkan kecap manis dan merica, aduk2 kembali sampai kecap meresap. Sisihkan
3) Haluskan duo bawang, kemudian tumis sampai harum dengan minyak wijen.
4) Masukkan nasi, bubuk kari dan daging, aduk2 dengan api besar. Tambahkan kecap dan merica, aduk2 kembali sampai matang.
5) Sajikan dengan emping melinjo (saya tidak pakai), irisan tomat/timun dan daun selada. Sedaapp!!",caesar-salad-roast-chicken,"1 piring nasi putih , potong daging kambing , bawang putih , bawang merah , bubuk kari , kecap manis , merica , minyak wijen , enzim pengempuk daging nanas parut pepaya muda parut daun pepaya",,,,,,
14,Sate Kambing,1 Kg Daging Kambing (boleh campur hati dan lemak)--45 buah Tusuk Sate--15 sdm Kecap Manis--4 lembar Daun jeruk (iris tipis)--4 sdm Air Asam Jawap--Secukupnya Margarin--1/2 buah nanas matang (untuk merendam daging)--Bumbu Halus :--12 Siung Bawang Merah--6 Siung Bawang Putih--1 sdm Jintan Bubuk--1 ruas Ibu jari Jahe--Secukupnya Gula--Secukupnya Merica--Saus kecap :--8 buah Bawang Merah (iris halus)--2 buah tomat (potong sesuai selera)--20 buah cabai rawit (iris halus)--10 sdm Kecap Manis--,"1) Potong2 daging kambing, lalu tusuk di tusukan sate. Campur daging, hati dan lemak. Setelah itu rendam di dalam nanas yang sudah dipotong.
2) Haluskan bumbu, lalu tumis sebentar.
3) Campurkan kecap manis, bumbu yang sudah ditumis, margarin dan irisan daun jeruk. Lalu bakar sate hingga matang.
4) Campurkan semua bahan saus kecap. Lalu tata di piring saji. Susun sate lalu kemudian siramkan saus kecap yang sudah dibuat. Selamat mencoba",chicken-and-rice-with-leeks-and-salsa-verde,"daging kambing campur hati lemak , tusuk sate , kecap manis , daun jeruk tipis , air asam jawap , margarin , nanas matang merendam daging , bumbu halus , bawang merah , bawang putih , jinten bubuk , jahe , gula , merica , saus kecap , bawang merah halus , tomat potong , cabai rawit halus , kecap manis",,,,,,
15,Semur daging kambing dan kentang,"300 gr daging kambing--2 buah kentang uk.sedang(potong jd 4/sesuai selera,goreng)--1 buah kayu manis uk.½jari--5 buah cengkeh--1 buah tomat uk.besar (potong jd 4 bagian)--1 buah bawang bombai--5 sdm kecap manis--🌿bumbu halus :--3 buah bawang putih--1/2 sdt merica bubuk--1/2 sdt pala bubuk--","1) Haluskan bumbu,sisihkan,potong2 bawang bombai lalu tumis hingga layu,setelah itu masukkan bumbu halus,kayu manis,cengkeh,aduk rata
2) Masukkan daging,aduk rata biarkan hingga daging berubah warna,haluskan tomat(kasar aja)lalu beri air sedikit dan masukkan ke dalam tumisan daging,aduk rata,tambahkan gula,½sdt garam dan air agak banyak,kecilkan api,biarkan hingga daging benar2 empuk,jika air sdh hampir habis tp daging masih blom empuk,bs ditambahkan lg airnya
3) Setelah daging empuk,masukkan kecap manis dan kentang,aduk rata,test rasa,biarkan hingga kentang matang,,
4) Setelah pas rasanya,angkat dan taruh dlm mangkuk,beri taburan bawang putih goreng dan bawang merah goreng,sajikan dg nasi hangat dan tempe goreng,,,,, hhmmmmm,,,, nikmaaattnyaaaa,,,,,,",gorditas-con-camarones,"daging kambing , kentang uksedang potong , goreng , kayu manis uk½jari , cengkeh , tomat ukbesar potong , bawang bombai , kecap manis , bumbu halus , bawang putih , merica bubuk , pala",,,,,,
16,Bakso daging sapi,"1 kg daging sapi--250 gram tepung sagu tani--secukupnya garam--Bawang putih goreng--2 blok es batu--Bahan kuah bakso :--Kaldu rebusan tulang sapi--Secukupnya garam,gula,lada--2 siung bawang putih dihaluskan--1 putih telur--Bahan kuah :--Kaldu rebusan dari tulang sapi--Secukupnya garam dan gula--Bawang goreng--Pelengkap:--Mie--Sawi--Bawang merah goreng, seledri diiris tipis--","1) Pertama bersihkan daging, buang lemak dan uratnya, lalu haluskan dengan coper bersama bawang putih goreng dan es batu (gunakan daging sapi yg benar-benar fresh)
2) Masukan garam, gula, lada, sagu tani aduk rata
3) Didihkan air dalam panci, jika sudah mendidih matikan
4) Bentuk bakso dengan menggunakan tangan dan sendok, langsung masukan ke dalam air yg mendidih dalam panci
5) Jika sudah selesai mencetak bakso, kembali didihkan panci dan jika bakso sudah mengapung maka angkat bakso dan masukan ke dalam air es
6) Bakso siap dihidangkan dengan kuah dan pelengkap
7) Selamat mencoba
8) Maaf foto step by step nya ga kesimpen..tp ini dijamin mudah n enak baksonya",enfrijoladas,"daging sapi , tepung sagu tani , garam , bawang putih goreng , blok es batu , kuah bakso , kaldu rebusan tulang sapi , garam , gula , lada , bawang putih dihaluskan , putih telur , kuah , kaldu rebusan tulang sapi , garam gula , bawang goreng , pelengkap , mie , sawi , bawang merah goreng , seledri diiris tipis",,,,,,
17,Tahu bakso,5 buah tahu goreng--2 sdm tepung kanji--2 sdm tepung terigu--1/2 bungkus penyedap rasa--1/2 sdt lada bubuk--secukupnya garam--secukupnya air hangat--,"1) Buat adonan dari semua bahan kecuali tahu goreng
2) Iris satu sisi kemudian isi dengan adonan
3) Kukus selama 20 menit, angkat lalu sajikan",caramelized-plantain-parfait,"tahu goreng , tepung kanji , tepung terigu , penyedap , lada , garam , air hangat",,,,,,
18,Lodeh tahu,"4 buah tahu di potong 2--1 genggam toge--3-4 helai sawi putih--1 buah tomat--3 siung bawang merah--3 siung bawang putih--5 buah cabe kriting--1 ruas jahe,lengkuas,--2 lembar daun salam--500 ml santan atau boleh pakai kara--3 sdt garam--1 sdt gula--Air dan minyak--","1) Panaskan minyak, tumis bawang,jahe,lengkuas,daun salam dan cabe hingga harum
2) Masukkan santan aduk hingga mendidih. kalau pakai kara, sebaiknya santannya dilarutkn dulu dengan air panas baru dituangkan ke tumisam yg sudah diberi air sebelumnya. Ingat ya, harus diaduk sampai mendidih supaya tidak pecah
3) Setelah santan matang (mendidih) Masukkan tahu dan sawi. Aduk sesekali. Supaya tahunya tidak pecah.
4) Sewaktu hampir matang masukkan toge dan tomat. Lalu aduk sesaat sampai kira2 2 menit dan di cicip. Tambahkan gula atau garam jika kurang pas. Tp biasanya sudah pas krn santan membuat maskannya gurih.
5) Selamat mencoba",chicken-and-potato-gratin-brown-butter-cream,"tahu potong , genggam toge , sawi putih , tomat , bawang merah , bawang putih , cabe kriting , jahe , lengkuas , daun salam , santan kara , garam , gula , air minyak",,,,,,
19,Tumis tauge tahu pedas manis,1 1/2 genggam tauge--5 buah tahu potong dadu--6 buah bawang merah--2 siung bawang putih--6 biji lombok--Secukupnya gula merah--Secukupnya saos tiram--Secukupnya royco--Secukupnya kecap manis--Secukupnya air--,"1) Goreng tahu yg sudah dipotong dadu setengah masak dan sisihkan tahu yg sudah digoreng
2) Tumis bawang merah dan putih hingga harum, lalu masukkan lombok dan tumis
3) Masukkan gula merah, saos tiram, kecap, royco tumis smpai rata
4) Masukkan tahu aduk smpai rata dan masukkan tauge aduk rata
5) Masukkan air secukupnya aduk rata
6) Diamkan dan tutup pakai tutup panci yg sesuai
7) Kalau sudah mendidih aduk dan cek rasa
8) Bila rasa sudah pas, siap disajikan",roasted-beets-with-crispy-sunchokes-and-pickled-orange-ginger-puree,"genggam tauge , tahu potong dadu , bawang merah , bawang putih , biji lombok , gula merah , saos tiram , royco , kecap manis , air",,,,,,
20,Tahu bacem sederhana,10 bh tahu--5 siung bawang merah--5 siung bawang putih--1 sdm Ketumbar--1 bh kemiri--Daun salam--Daun jeruk--Kecap--Gula jawa--Air--,"1) Haluskan bumbu. Bawang merah, bawang putih, ketumbar, kemiri.
2) Siapkan panci yang diisi air kira2 1,5 liter.
3) Masukkan tahu dan bumbu halus serta daun salam dan daun jeruk.
4) Masukkan gula jawa dan kecap. Jgn lupa tambah kan garam.
5) Aduk, koreksi rasa dan biarkan hingga air rebusan habis.
6) Angkat dan simpan di kulkas(klu saya) semaleman.
7) Gorek dengan minyak panas.
8) Warna akan semakin coklat ketika sudah digoreng.
9) Angkat dan sajikan",kale-and-pumpkin-falafels-with-pickled-carrot-slaw,"tahu , bawang merah , bawang putih , ketumbar , kemiri , daun salam , daun jeruk , kecap , gula jawa , air",,,,,,
21,Perkedel tahu,8 buah tahu--2 butir telor--2 batang daun bawang--secukupnya Garam--secukupnya Motto--secukupnya Kaldu bubuk--6 bawang putih--1/2 merica bubuk--6 bawang putih--secukupnya Minyak goreng--,"1) Cuci tahu dengan air bersih lalu haluskan dengan ulegan
2) Potong daun dawang dengan halus
3) Haluskan bawang merah, bawang putih n merica tambahkan garam, motto, kaldu bubuk
4) Masukkan tahu yang sudah halus kedalam wadah lalu tambahkan 2 telor, bumbu halus lalu aduk rata, tambahkan daun bawang aduk rata
5) Panaskan minyak lalu goreng hingga kuning kecoklatan
6) Setelah matang angkat n tiriskan
7) Selamat mencoba",maple-chile-roasted-pumpkin-with-quinoa-tabouli,"tahu , telor , batang daun bawang , garam , motto , kaldu bubuk , bawang putih , merica bubuk , bawang putih , minyak goreng",,,,,,
22,Tumis sawi putih tahu,1 buah sawi putih potong kotak kotak--3 buah tahu potong kotak di goreng--1 batang daun bawang--Bumbu halus--4 siung bawang merah--2 siung bawang putih--1 sdt udang kering (bisa di skip)--2 buah kemiri--2 sdm makan santan instan--Gula garam merica penyedap--Minyak untuk menumis--secukupnya Air--,"1) Haluskan bumbu halus, tumis dengan minyak menggunakan api kecil, supaya bau kemiri mentahnya hilang
2) Setelah bumbu matang tambahkan air, masukan tahu goreng dan daun bawang
3) Tambahkan gula garan merica dan penyedap secukipnya, test rasa
4) Masukan sawi putih, masak cepat agar masih ada teksur renyahnya
5) Sajikan dengan taburan bawang goreng",chhena-poda-paneer-cheesecake,"sawi putih potong kotak kotak , tahu potong kotak goreng , batang daun bawang , bumbu halus , bawang merah , bawang putih , udang kering , kemiri , makan santan instan , gula garam merica penyedap , minyak menumis , air",,,,,,
